date_day,n_msgs,n_msgs_ma7
2024-08-13 00:00:00+00:00,8,24.0
2024-08-14 00:00:00+00:00,7,16.571428571428573
2024-08-15 00:00:00+00:00,3,13.428571428571429
2024-08-16 00:00:00+00:00,10,12.285714285714286
2024-08-17 00:00:00+00:00,9,12.857142857142858
2024-08-18 00:00:00+00:00,5,13.142857142857142
2024-08-19 00:00:00+00:00,3,6.428571428571429
2024-08-20 00:00:00+00:00,5,6.0
2024-08-21 00:00:00+00:00,3,5.428571428571429
2024-08-22 00:00:00+00:00,13,6.857142857142857
2024-08-23 00:00:00+00:00,6,6.285714285714286
2024-08-24 00:00:00+00:00,2,5.285714285714286
2024-08-25 00:00:00+00:00,4,5.142857142857143
2024-08-26 00:00:00+00:00,5,5.428571428571429
2024-08-28 00:00:00+00:00,2,5.0
2024-08-29 00:00:00+00:00,2,4.857142857142857
2024-08-30 00:00:00+00:00,7,4.0
2024-08-31 00:00:00+00:00,1,3.2857142857142856
2024-09-01 00:00:00+00:00,4,3.5714285714285716
2024-09-02 00:00:00+00:00,6,3.857142857142857
2024-09-03 00:00:00+00:00,13,5.0
2024-09-04 00:00:00+00:00,11,6.285714285714286
2024-09-05 00:00:00+00:00,8,7.142857142857143
2024-09-06 00:00:00+00:00,5,6.857142857142857
2024-09-07 00:00:00+00:00,1,6.857142857142857
2024-09-08 00:00:00+00:00,2,6.571428571428571
2024-09-09 00:00:00+00:00,10,7.142857142857143
2024-09-10 00:00:00+00:00,6,6.142857142857143
2024-09-11 00:00:00+00:00,3,5.0
2024-09-12 00:00:00+00:00,3,4.285714285714286
