user,pct_pos,pct_neu,pct_neg,pct_na,n
Mjaguilare,0.4,0.6,0.0,0.0,5
gersintos,0.4,0.4,0.2,0.0,5
guatevisible,0.4,0.6,0.0,0.0,5
LmlemusH,0.3333333333333333,0.5,0.16666666666666666,0.0,6
Patolopez420,0.3333333333333333,0.6666666666666666,0.0,0.0,6
castilloangie_2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6
01Lu88,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
Elgriego7,0.3333333333333333,0.0,0.6666666666666666,0.0,3
Enrique5603,0.3333333333333333,0.6666666666666666,0.0,0.0,3
FJquione,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
FialkoFialko,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
Jhony1234567895,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
JoseCif33982901,0.3333333333333333,0.6666666666666666,0.0,0.0,3
Juanchampas,0.3333333333333333,0.6666666666666666,0.0,0.0,3
LopezGuamuch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
M_Rob_13,0.3333333333333333,0.6666666666666666,0.0,0.0,3
ManuelP27147297,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
MarvinRecinos66,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
TitanJustiGT,0.3333333333333333,0.0,0.6666666666666666,0.0,3
a_saenz50,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
avroruiz,0.3333333333333333,0.6666666666666666,0.0,0.0,3
blaguila,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
c8f9a667e131454,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
cmlcgt,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
gt502_luis,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
hshetemul,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
jeanellydvg,0.3333333333333333,0.6666666666666666,0.0,0.0,3
lamaro84190537,0.3333333333333333,0.6666666666666666,0.0,0.0,3
larrywoodgt,0.3333333333333333,0.6666666666666666,0.0,0.0,3
leon_denniz,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
lopez_barrios16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3
lunacrescentegt,0.3333333333333333,0.6666666666666666,0.0,0.0,3
marvinecgarcia,0.3333333333333333,0.6666666666666666,0.0,0.0,3
