id,date,user,user_id,user_displayname,user_rawDescription,user_created,user_followersCount,user_friendsCount,user_statusesCount,user_favouritesCount,user_listedCount,user_mediaCount,user_location,user_protected,user_verified,user_blue,user_blueType,user_descriptionLinks,user_pinnedIds,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,conversationId,hashtags,cashtags,mentionedUsers_ids,mentionedUsers_usernames,viewCount,quotedTweet_id,quotedTweet_date,quotedTweet_user_id,quotedTweet_user_username,place,inReplyToTweetId,inReplyToUser,sourceLabel,media_photos_count,media_videos_count,media_animated_count
1811817673728065649,2024-07-12 17:39:30+00:00,ccdaoficialgt,1258192012928528386,CCDA Guatemala,"Organización indígena y campesina fundada el 2 de marzo de 1982, en el altiplano guatemalteco.",2020-05-07 00:30:56+00:00,1811,432,1281,1172,0,957,"San Lucas Tolimán, Sololá. ",,False,False,,1,,es,"#LegislativoCooptado Acostumbrados a bonos, plazas, sobornos y contratos para sus empresas, cuando no se atienden sus intereses, salen a relucir estos personajes corruptos.

Nunca han estado del lado del Pueblo #Guatemala.

#UrgenCambiosEstructurales  #NoMasCorrupcion https://t.co/j2ZrqyRcGz",41,393,610,17,8,1811817673728065649,"LegislativoCooptado,Guatemala,UrgenCambiosEstructurales,NoMasCorrupcion",,,,10394.0,,,,,,,,Twitter Web App,1,0,0
1811847668995621320,2024-07-12 19:38:41+00:00,ldubon63,2732768727,Jose Luis Dubon,,2014-08-03 21:54:42+00:00,3,42,808,92,0,1,,,False,False,,0,,es,@PEdgar05 @traficogt Estos ya tenemos como país organizado ver la manera de como los sacamos del congreso. Instó al presidente qué saque a estas ratas y las guía a la prisión por traición a la nación.,0,0,0,0,0,1811610306109391013,,,"1257861614340124673,93938886","PEdgar05,traficogt",48.0,,,,,,1811610306109391013,PEdgar05,Twitter for Android,0,0,0
1811831682066186692,2024-07-12 18:35:09+00:00,jaque_mate2,1157764536734277632,El Ajedrecista,FIDELIDAD Y LEALTAD,2019-08-03 21:25:50+00:00,164,865,1609,700,2,20,Guatemala,,False,False,,0,,es,"@Fiscalnvicto @traficogt Sin necesidad de Búnker, quienes se estaban clavando más de 100 millones en tres días eran los del  MICIVI en Caminos. Hay que hablar con la verdad, porque perder objetividad es perder credibilidad. El ministro hace la denuncia pero no dice que ya había firmado la adjudicación.",0,0,0,0,0,1811520852476731468,,,"2167302383,93938886","Fiscalnvicto,traficogt",35.0,,,,,,1811520852476731468,Fiscalnvicto,Twitter for iPhone,0,0,0
1811827824028012564,2024-07-12 18:19:50+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,"La CC es otro ejemplo de un ente creado por abogados, algunos con buenas intenciones, pero que se torció y ahora es inoperante.   Las instancias legales en Guate son un mal chiste.  Urgen reformas.  Ya llegarán.",0,1,10,0,0,1811827824028012564,,,,,932.0,,,,,,,,Twitter for Android,0,0,0
1811825322255614417,2024-07-12 18:09:53+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,"El control de precios no funciona.  Pero bueno, es lo que se le ocurrió... Dónde están los bukelistaa??",0,0,0,0,0,1811825322255614417,,,,,880.0,1811819048776220920,2024-07-12 17:44:57+00:00,6135622,dw_espanol,,,,Twitter for Android,0,0,0
1811819048776220920,2024-07-12 17:44:57+00:00,dw_espanol,6135622,DW Español,Desde Alemania para el mundo. Señal en vivo 24/7 https://t.co/CrFwQbFSRC,2007-05-18 11:40:24+00:00,1441832,199,196421,2478,7505,71301,"Berlín, Alemania",,False,True,Business,2,1834033788138996122,es,"#Bukele ordena combatir ""mafias empresariales"" para bajar precios de alimentos en El Salvador.

El presidente de ese país implementa también mercados rurales con #precios controlados, en un intento por contener el alza del costo de vida.

Para ello está investigando las principales cadenas de supermercados.",89,74,184,40,9,1811819048776220920,"Bukele,precios",,,,28386.0,,,,,,,,Twitter Web App,1,0,0
1811824150555562387,2024-07-12 18:05:14+00:00,coniglio0018,1562496014405488642,superman,Guía de turistas en toda la república de Guatemala,2022-08-24 17:45:54+00:00,3,57,87,17,0,5,Guatemala,,False,False,,0,,es,@eP_investiga @traficogt Que raro tener que cuidar la mierda,0,0,0,0,0,1811739787768009080,,,"1767300056569315328,93938886","eP_investiga,traficogt",38.0,,,,,,1811739787768009080,eP_investiga,Twitter for Android,0,0,0
1811610447201636466,2024-07-12 03:56:03+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,Qué empresa es?  Hay que vetarla y a sus dueños de cualquier otro concurso de obra pública.,0,3,8,0,0,1811610447201636466,,,,,1634.0,1811608952133574860,2024-07-12 03:50:06+00:00,38687143,prensa_libre,,,,Twitter for Android,0,0,0
1811608952133574860,2024-07-12 03:50:06+00:00,prensa_libre,38687143,Prensa Libre,"Somos el diario líder de Guatemala.
Suscríbase: https://t.co/MnaC5DpclY
Únase a Telegram: https://t.co/B5dYceZFU4…",2009-05-08 15:38:38+00:00,1685961,83,782273,348,3279,319631,Guatemala,,False,True,,3,,es,Ministro de Comunicaciones señala a exdirector de Caminos de intervenir a favor de una empresa https://t.co/cLrVo96lSB,1,4,17,1,0,1811608952133574860,,,,,5572.0,,,,,,,,prensa_libre164596692643321037,0,0,0
1811531891490660669,2024-07-11 22:43:54+00:00,luisficarpediem,33607101,Luis FIGUEROA,"Periodista, objetivista, por la libertad y la razón",2009-04-20 18:18:11+00:00,5007,384,54417,33470,92,4453,Guatemala,,False,True,,1,,es,De nada…Maleducada @traficogt https://t.co/jOvpLBLXcy,0,0,0,0,0,1811531891490660669,,,93938886,traficogt,177.0,,,,,,,,Twitter for iPhone,1,0,0
